2025/03/16	15:39:29	992feeb4-f3ff-440c-b533-3adfa0e076fc	/new-page	GET
2025/03/16	15:39:30	a201e396-0903-4a9a-942f-e66d541c91ed	/img/image-1.jpg	GET
2025/03/16	15:41:00	c7c7a5a3-cb0a-496e-8464-8589360fdcca	/new-page	GET
2025/03/16	15:41:25	deb33a46-53e6-4c20-87d4-11bd6bb8e71f	/new-page	GET
2025/03/16	15:41:25	afdb8947-68a6-4926-8861-9086f13747ad	/img/image-1.jpg	GET
2025/03/16	22:43:45	ea64eab3-7186-482a-aec2-a515f92973e5	GET	undefined	/
2025/03/16	22:43:45	7a5243bd-b43b-48bf-a57a-3b0b6f77db81	GET	undefined	/css/style.css
2025/03/16	22:48:57	1d7f1a6d-1c4b-4d4a-b5c6-e785940eb30f	GET	undefined	/
2025/03/16	22:48:57	9629e1f7-5cb4-4cbc-b124-45d794205be5	GET	undefined	/css/style.css
2025/03/16	22:48:58	3fda5167-98ec-4a8f-9fc4-bf7cba8e797d	GET	undefined	/
2025/03/16	22:48:58	c4fedf79-47e9-4625-8998-b935805df5d6	GET	undefined	/css/style.css
2025/03/16	22:49:09	9eb3f1a6-1ae8-41b0-9a23-5310b656161a	GET	undefined	/index.html
2025/03/16	22:49:09	a3111187-2636-413c-93f4-aa695fa84e31	GET	undefined	/css/style.css
2025/03/16	22:49:14	37c475ab-1a43-4e5d-b587-ac42aeb86ba6	GET	undefined	/index.html
2025/03/16	22:49:14	f2ee7c58-2caf-4f4a-9416-acae4390258e	GET	undefined	/css/style.css
2025/03/16	22:49:15	c8f7e7c3-23b9-4ab9-9969-aafa6b0c8215	GET	undefined	/index.html
2025/03/16	22:49:15	8172033b-ba26-4a8c-9315-b245a607664d	GET	undefined	/css/style.css
2025/03/16	22:50:03	6f661953-8b23-4426-84b7-8a75d97904d1	GET	undefined	/index.html
2025/03/16	22:50:03	bd3fe4e4-2dec-4be1-8b59-677e60d6681b	GET	undefined	/css/style.css
2025/03/16	22:51:34	0437a8c6-3014-425d-9797-cb651ebd3f26	OPTIONS	undefined	/
2025/03/16	22:51:34	69a3036f-7af4-486c-ab09-96cc7900cb09	GET	undefined	/
2025/03/16	22:52:23	408f54c2-baf9-41c2-be6e-4150a6e999d2	GET	undefined	/index.html
2025/03/16	22:52:23	ce208f29-9dc0-4d62-baf2-3d93f2577b8a	GET	undefined	/css/style.css
2025/03/16	22:52:35	ea59bee8-da37-45e6-8ab8-551ffe64295a	OPTIONS	undefined	/
2025/03/16	22:52:35	11563607-f7f3-48b7-ae09-0342489d6843	GET	undefined	/
2025/03/16	22:52:59	193efd7f-4b03-43e0-8783-d12c62f286b5	OPTIONS	undefined	/
2025/03/16	22:52:59	6761f3f2-d7a2-478d-a7d0-2b03ef89742a	GET	undefined	/
